License Year, Hunting District,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns
2018,401,N,20,41,2,4,4,0,0,
2018,401,R,350,1037,3,150,133,16,2,
2018,401,SUM,370,1078,3,154,137,16,2,
2018,404,N,39,165,4,21,21,0,0,
2018,404,R,447,1662,4,242,197,44,0,
2018,404,SUM,486,1827,4,262,218,44,0,
2018,413,N,12,74,6,0,0,0,0,
2018,413,R,102,382,4,49,36,11,2,
2018,413,SUM,115,456,4,49,36,11,2,
2018,420,N,30,43,1,10,8,2,0,
2018,420,R,131,243,2,82,70,12,0,
2018,420,SUM,162,285,2,92,78,14,0,
2018,430,N,0,0,0,1,1,0,0,
2018,430,R,112,540,5,80,55,23,2,
2018,430,SUM,112,540,5,81,57,23,2,
2018,440,N,8,8,1,3,3,0,0,
2018,440,R,166,1125,7,107,65,40,2,
2018,440,SUM,174,1133,7,110,68,40,2,
2018,441,N,0,0,0,0,0,0,0,
2018,441,R,12,12,1,7,7,0,0,
2018,441,SUM,12,12,1,7,7,0,0,
2018,444,N,26,51,2,5,5,0,0,
2018,444,R,158,518,3,95,58,37,0,
2018,444,SUM,183,569,3,100,63,37,0,
2018,450,N,18,114,6,10,3,7,0,
2018,450,R,237,594,3,133,50,81,2,
2018,450,SUM,255,708,3,143,54,88,2,
2018,455,N,0,0,0,0,0,0,0,
2018,455,R,15,46,3,0,0,0,0,
2018,455,SUM,15,46,3,0,0,0,0,
2018,470,N,11,45,4,4,4,0,0,
2018,470,R,288,1060,4,156,90,67,0,
2018,470,SUM,299,1105,4,160,94,67,0,
2018,471,N,38,111,3,16,10,6,0,
2018,471,R,197,454,2,143,91,52,0,
2018,471,SUM,235,564,2,159,101,57,0,
2018,480,N,22,99,5,5,5,0,0,
2018,480,R,84,377,5,99,73,26,0,
2018,480,SUM,106,475,5,105,78,26,0,
2018,481,N,12,87,7,5,5,0,0,
2018,481,R,38,251,7,21,16,5,0,
2018,481,SUM,51,337,7,26,21,5,0,
2018,490,N,12,12,1,21,12,9,0,
2018,490,R,402,1546,4,274,150,121,3,
2018,490,SUM,414,1558,4,294,162,130,3,
2018,491,N,0,0,0,0,0,0,0,
2018,491,R,99,286,3,59,32,27,0,
2018,491,SUM,99,286,3,59,32,27,0,
2018,500,N,7,37,5,21,16,5,0,
2018,500,R,194,637,3,137,85,52,0,
2018,500,SUM,202,674,3,158,102,57,0,
2018,501,N,16,40,3,20,19,2,0,
2018,501,R,300,1009,3,147,115,33,0,
2018,501,SUM,316,1049,3,167,133,34,0,
2018,510,N,95,248,3,108,93,15,0,
2018,510,R,356,1002,3,197,122,72,2,
2018,510,SUM,451,1251,3,304,215,87,2,
2018,511,N,54,122,2,24,23,2,0,
2018,511,R,124,809,7,79,61,18,0,
2018,511,SUM,178,931,5,103,84,19,0,
2018,512,N,0,0,0,1,0,1,0,
2018,512,R,50,174,4,25,14,12,0,
2018,512,SUM,50,174,4,26,14,13,0,
2018,513,N,7,15,2,16,16,0,0,
2018,513,R,296,838,3,176,157,16,2,
2018,513,SUM,304,853,3,192,173,16,2,
2018,514,N,11,29,3,5,2,2,0,
2018,514,R,120,637,5,53,34,18,2,
2018,514,SUM,131,665,5,58,36,20,2,
2018,530,N,45,114,3,27,25,1,0,
2018,530,R,77,387,5,91,84,7,0,
2018,530,SUM,122,500,4,118,109,9,0,
2018,540,N,16,185,12,14,13,2,0,
2018,540,R,285,2073,7,147,105,42,0,
2018,540,SUM,302,2258,8,161,117,44,0,
2018,550,N,30,109,4,15,9,5,1,
2018,550,R,327,1275,4,187,107,78,2,
2018,550,SUM,357,1384,4,203,116,83,4,
2018,560,N,72,320,4,29,21,8,0,
2018,560,R,857,2628,3,516,369,139,8,
2018,560,SUM,930,2947,3,546,390,148,8,
2018,570,N,87,342,4,97,80,17,0,
2018,570,R,775,2142,3,679,443,229,6,
2018,570,SUM,862,2484,3,776,524,246,6,
2018,590,N,75,342,5,42,31,9,2,
2018,590,R,327,1145,4,148,98,44,6,
2018,590,SUM,402,1487,4,190,129,54,7,
2018,600,N,14,20,2,12,5,7,0,
2018,600,R,205,594,3,78,56,21,2,
2018,600,SUM,219,615,3,91,61,28,2,
2018,620,N,32,91,3,16,13,2,0,
2018,620,R,253,1184,5,126,106,21,0,
2018,620,SUM,285,1275,5,142,119,23,0,
2018,630,N,0,0,0,12,9,2,0,
2018,630,R,87,398,5,74,65,8,0,
2018,630,SUM,87,398,5,85,74,11,0,
2018,650,N,37,103,3,38,31,8,0,
2018,650,R,242,592,2,224,157,63,4,
2018,650,SUM,278,694,3,262,188,71,4,
2018,670,N,44,339,8,20,19,1,0,
2018,670,R,241,1000,4,139,116,24,0,
2018,670,SUM,285,1339,5,159,134,25,0,
2018,690,N,30,159,5,36,34,2,0,
2018,690,R,375,1106,3,341,278,60,2,
2018,690,SUM,405,1265,3,376,312,62,2,
2018,700,N,110,303,3,95,67,28,0,
2018,700,R,1664,5871,4,1258,942,304,12,
2018,700,SUM,1774,6174,4,1353,1009,332,12,
2018,701,N,135,680,5,99,73,25,2,
2018,701,R,843,1979,2,686,541,130,16,
2018,701,SUM,978,2659,3,785,613,155,18,
2018,702,N,28,94,3,33,33,0,0,
2018,702,R,329,1044,3,202,175,28,0,
2018,702,SUM,357,1137,3,235,208,28,0,
2018,703,N,199,710,4,89,68,15,6,
2018,703,R,809,2867,4,544,412,129,3,
2018,703,SUM,1008,3578,4,633,480,144,9,
2018,704,N,112,460,4,131,107,24,0,
2018,704,R,841,3071,4,549,463,86,0,
2018,704,SUM,953,3531,4,681,570,110,0,
2018,705,N,593,2023,3,406,356,48,2,
2018,705,R,1152,4410,4,886,731,152,3,
2018,705,SUM,1745,6433,4,1293,1087,200,5,
2018,7XX,N,0,0,0,0,0,0,0,
2018,7XX,R,14,28,2,0,0,0,0,
2018,7XX,SUM,14,28,2,0,0,0,0,
2018,Reg_2,N,0,0,0,2,2,0,0,
2018,Reg_2,R,63,178,3,38,20,19,0,
2018,Reg_2,SUM,63,178,3,40,22,19,0,
2018,Reg_3,N,347,1463,4,224,171,53,0,
2018,Reg_3,R,4327,19460,5,2642,1574,1011,58,
2018,Reg_3,SUM,4674,20922,5,2866,1745,1064,58,
2018,Reg_4,N,248,848,3,106,82,23,0,
2018,Reg_4,R,2739,10131,4,1695,1123,561,11,
2018,Reg_4,SUM,2987,10979,4,1801,1205,585,11,
2018,Reg_5,N,497,1902,4,421,350,68,3,
2018,Reg_5,R,4049,14757,4,2583,1794,761,28,
2018,Reg_5,SUM,4546,16658,4,3005,2145,829,31,
2018,Reg_6,N,157,712,5,135,110,25,0,
2018,Reg_6,R,1377,4874,4,982,778,196,8,
2018,Reg_6,SUM,1534,5586,4,1117,888,221,8,
2018,Reg_7,N,1153,4270,4,854,704,140,10,
2018,Reg_7,R,5499,19269,4,4142,3275,833,34,
2018,Reg_7,SUM,6651,23539,4,4996,3979,972,44,
2018,Reg_X,N,12,62,5,2,2,0,0,
2018,Reg_X,R,20,63,3,3,0,3,0,
2018,Reg_X,SUM,33,125,4,5,2,3,0,
2018,State,N,2394,9256,4,1744,1423,309,13,
2018,State,R,17873,68731,4,12086,8563,3383,140,
2018,State,SUM,20267,77987,4,13830,9986,3691,153,
2018,XXX,N,12,62,5,0,0,0,0,
2018,XXX,R,20,63,3,0,0,0,0,
2018,XXX,SUM,33,125,4,0,0,0,0,
