License Year, Hunting District,Deer Species,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns,Bow,Rifle,Less than 4 Points, 4 or More Points
2004,121,md,SUM,3094,22535,7,157,153,4,0,6,151,38,112
2004,121,wt,N,459,2933,6,121,110,11,0,0,121,7,99
2004,121,wt,R,2634,19602,7,1246,873,362,11,32,1214,314,544
2004,121,wt,SUM,3094,22535,7,1367,983,373,11,32,1336,321,644
2004,122,all_deer,N,238,1130,5,96,89,7,0,4,92,25,60
2004,122,all_deer,R,2121,13043,6,756,608,133,16,6,750,235,359
2004,122,all_deer,SUM,2359,14172,6,852,696,140,16,9,843,260,419
2004,122,md,N,238,1130,5,39,36,4,0,4,36,21,14
2004,122,md,R,2121,13043,6,169,169,0,0,0,169,91,79
2004,122,md,SUM,2359,14172,6,208,205,4,0,4,205,112,93
2004,122,wt,N,238,1130,5,57,53,4,0,0,57,4,46
2004,122,wt,R,2121,13043,6,585,437,133,16,6,579,145,278
2004,122,wt,SUM,2359,14172,6,642,490,137,16,6,636,148,324
2004,123,all_deer,N,132,603,5,35,31,4,0,0,35,0,31
2004,123,all_deer,R,610,4022,7,215,166,50,0,5,211,76,85
2004,123,all_deer,SUM,743,4625,6,250,197,54,0,5,246,76,116
2004,123,md,N,132,603,5,7,7,0,0,0,7,0,7
2004,123,md,R,610,4022,7,42,42,0,0,0,42,19,23
2004,123,md,SUM,743,4625,6,49,49,0,0,0,49,19,30
2004,123,wt,N,132,603,5,28,24,4,0,0,28,0,24
2004,123,wt,R,610,4022,7,172,123,50,0,5,167,56,62
2004,123,wt,SUM,743,4625,6,200,147,54,0,5,195,56,86
2004,124,all_deer,N,58,272,5,18,18,0,0,0,18,11,7
2004,124,all_deer,R,530,3696,7,275,214,61,0,10,265,95,111
2004,124,all_deer,SUM,588,3968,7,293,232,61,0,10,283,106,118
2004,124,md,N,58,272,5,11,11,0,0,0,11,7,4
2004,124,md,R,530,3696,7,31,27,4,0,1,30,12,14
2004,124,md,SUM,588,3968,7,42,38,4,0,1,41,19,18
2004,124,wt,N,58,272,5,7,7,0,0,0,7,4,4
2004,124,wt,R,530,3696,7,243,185,57,0,9,234,84,97
2004,124,wt,SUM,588,3968,7,250,192,57,0,9,241,87,101
2004,130,all_deer,N,136,845,6,77,59,19,0,6,71,13,46
2004,130,all_deer,R,2562,12542,5,1021,705,297,17,21,1001,263,426
2004,130,all_deer,SUM,2698,13386,5,1098,764,316,17,27,1072,276,472
2004,130,md,N,136,845,6,11,7,4,0,4,7,0,7
2004,130,md,R,2562,12542,5,49,47,2,0,2,47,9,37
2004,130,md,SUM,2698,13386,5,60,54,5,0,5,55,9,44
2004,130,wt,N,136,845,6,57,48,9,0,2,55,13,36
2004,130,wt,R,2562,12542,5,968,654,296,17,19,949,250,389
2004,130,wt,SUM,2698,13386,5,1025,702,304,17,21,1004,263,425
2004,132,all_deer,N,25,153,6,19,7,12,0,0,19,0,7
2004,132,all_deer,R,1679,9079,5,1028,622,399,7,46,982,201,399
2004,132,all_deer,SUM,1704,9232,5,1047,629,410,7,46,1001,201,406
2004,132,md,N,25,153,6,0,0,0,0,0,0,0,0
2004,132,md,R,1679,9079,5,44,38,7,0,0,44,8,30
2004,132,md,SUM,1704,9232,5,44,38,7,0,0,44,8,30
2004,132,wt,N,25,153,6,17,7,10,0,0,17,0,7
2004,132,wt,R,1679,9079,5,981,585,390,7,46,935,193,370
2004,132,wt,SUM,1704,9232,5,998,592,400,7,46,952,193,377
2004,140,all_deer,N,126,754,6,60,60,0,0,4,57,4,53
2004,140,all_deer,R,711,3670,5,183,144,39,0,0,183,40,104
2004,140,all_deer,SUM,837,4425,5,243,204,39,0,4,240,43,158
2004,140,md,N,126,754,6,25,25,0,0,0,25,0,21
2004,140,md,R,711,3670,5,65,65,0,0,0,65,24,41
2004,140,md,SUM,837,4425,5,90,90,0,0,0,90,24,62
2004,140,wt,N,126,754,6,36,36,0,0,4,32,4,32
2004,140,wt,R,711,3670,5,118,79,39,0,0,118,16,64
2004,140,wt,SUM,837,4425,5,154,115,39,0,4,150,19,95
2004,141,all_deer,N,47,297,6,11,11,0,0,0,11,0,11
2004,141,all_deer,R,126,986,8,27,25,2,0,0,27,8,17
2004,141,all_deer,SUM,173,1283,7,38,36,2,0,0,38,8,28
